param-n abstract+autorewrite-regression-quadratic-real abstract+autorewrite-regression-quadratic-sys abstract+autorewrite-regression-quadratic-user abstract+rewrite!-regression-quadratic-real abstract+rewrite!-regression-quadratic-sys abstract+rewrite!-regression-quadratic-user autorewrite-noop-regression-linear-real autorewrite-noop-regression-linear-sys autorewrite-noop-regression-linear-user autorewrite-regression-quadratic-real autorewrite-regression-quadratic-sys autorewrite-regression-quadratic-user close-abstract+autorewrite-regression-quadratic-real close-abstract+autorewrite-regression-quadratic-sys close-abstract+autorewrite-regression-quadratic-user close-abstract+rewrite!-regression-quadratic-real close-abstract+rewrite!-regression-quadratic-sys close-abstract+rewrite!-regression-quadratic-user rewrite!-regression-quadratic-real rewrite!-regression-quadratic-sys rewrite!-regression-quadratic-user rewrite?-noop-regression-linear-real rewrite?-noop-regression-linear-sys rewrite?-noop-regression-linear-user
78 0.125 0.003 0.122 0.142 0.003 0.138 0.001 0. 0.001 0.069 0.002 0.067 0.053 0. 0.053 0.061 0. 0.061 0.078 0.003 0.074 0.001 0. 0.001
79 0.137 0. 0.136 0.148 0. 0.148 0. 0. 0. 0.077 0. 0.077 0.057 0. 0.057 0.063 0. 0.063 0.083 0. 0.083 0.001 0. 0.001
80 0.138 0. 0.138 0.144 0. 0.145 0.001 0. 0.001 0.08 0. 0.08 0.055 0. 0.055 0.062 0. 0.062 0.08 0. 0.081 0. 0. 0.
81 0.147 0. 0.147 0.152 0. 0.152 0.001 0. 0.001 0.087 0. 0.087 0.057 0. 0.057 0.06 0. 0.06 0.089 0. 0.089 0. 0. 0.
82 0.153 0. 0.153 0.176 0. 0.176 0. 0. 0. 0.088 0. 0.088 0.063 0. 0.063 0.074 0. 0.074 0.099 0. 0.099 0.001 0. 0.001
83 0.19 0. 0.19 0.163 0.004 0.159 0.001 0. 0.001 0.101 0. 0.101 0.084 0. 0.084 0.073 0. 0.073 0.087 0.003 0.083 0. 0. 0.
84 0.171 0. 0.171 0.178 0. 0.178 0.001 0. 0.001 0.105 0. 0.105 0.063 0. 0.063 0.072 0. 0.072 0.103 0. 0.103 0.001 0. 0.001
85 0.157 0. 0.157 0.175 0. 0.175 0.001 0. 0.001 0.085 0. 0.085 0.07 0. 0.07 0.068 0. 0.068 0.104 0. 0.104 0.001 0. 0.001
86 0.172 0. 0.171 0.16 0. 0.16 0.001 0. 0.001 0.098 0. 0.098 0.071 0. 0.071 0.062 0. 0.062 0.095 0. 0.095 0.001 0. 0.001
87 0.179 0. 0.179 0.173 0. 0.173 0.001 0. 0.001 0.102 0. 0.102 0.074 0. 0.074 0.071 0. 0.071 0.1 0. 0.1 0.001 0. 0.001
