param-n abstract+rewrite-strat-bottomup-real abstract+rewrite-strat-bottomup-sys abstract+rewrite-strat-bottomup-user abstract+rewrite-strat-topdown-real abstract+rewrite-strat-topdown-sys abstract+rewrite-strat-topdown-user close-abstract+rewrite-strat-bottomup-real close-abstract+rewrite-strat-bottomup-sys close-abstract+rewrite-strat-bottomup-user close-abstract+rewrite-strat-topdown-real close-abstract+rewrite-strat-topdown-sys close-abstract+rewrite-strat-topdown-user rewrite-strat-bottomup-real rewrite-strat-bottomup-sys rewrite-strat-bottomup-user rewrite-strat-bottomup-noop-real rewrite-strat-bottomup-noop-sys rewrite-strat-bottomup-noop-user rewrite-strat-topdown-real rewrite-strat-topdown-sys rewrite-strat-topdown-user rewrite-strat-topdown-noop-real rewrite-strat-topdown-noop-sys rewrite-strat-topdown-noop-user
50 0.135 0.023 0.112 0.105 0.021 0.084 0.024 0. 0.024 0.017 0. 0.017 0.11 0.023 0.087 0. 0. 0. 0.086 0.02 0.065 0. 0. 0.
51 0.081 0.003 0.077 0.046 0. 0.046 0.028 0. 0.028 0.019 0. 0.019 0.051 0.003 0.048 0. 0. 0. 0.026 0. 0.026 0. 0. 0.
52 0.083 0. 0.083 0.05 0. 0.05 0.027 0. 0.027 0.02 0. 0.02 0.055 0. 0.055 0. 0. 0. 0.028 0. 0.028 0. 0. 0.
53 0.091 0.003 0.087 0.053 0. 0.053 0.031 0.003 0.027 0.02 0. 0.02 0.058 0. 0.058 0. 0. 0. 0.031 0. 0.031 0. 0. 0.
54 0.09 0. 0.09 0.051 0. 0.051 0.029 0. 0.029 0.021 0. 0.021 0.059 0. 0.059 0. 0. 0. 0.028 0. 0.028 0. 0. 0.
55 0.092 0. 0.092 0.054 0. 0.054 0.032 0. 0.032 0.022 0. 0.022 0.058 0. 0.058 0. 0. 0. 0.03 0. 0.03 0. 0. 0.
56 0.102 0. 0.102 0.058 0. 0.058 0.037 0. 0.037 0.023 0. 0.023 0.063 0. 0.063 0. 0. 0. 0.034 0. 0.034 0. 0. 0.
57 0.098 0. 0.098 0.062 0. 0.062 0.032 0. 0.032 0.024 0. 0.024 0.064 0. 0.064 0. 0. 0. 0.037 0. 0.037 0. 0. 0.
58 0.11 0. 0.11 0.059 0. 0.059 0.034 0. 0.034 0.025 0. 0.025 0.074 0. 0.074 0. 0. 0. 0.032 0. 0.032 0. 0. 0.
59 0.111 0. 0.111 0.061 0. 0.061 0.037 0. 0.037 0.026 0. 0.026 0.072 0. 0.072 0. 0. 0. 0.033 0. 0.033 0. 0. 0.
60 0.111 0.003 0.107 0.064 0. 0.064 0.038 0. 0.038 0.026 0. 0.026 0.072 0.003 0.068 0. 0. 0. 0.036 0. 0.036 0. 0. 0.
61 0.115 0. 0.115 0.066 0. 0.066 0.04 0. 0.04 0.027 0. 0.027 0.074 0. 0.074 0. 0. 0. 0.037 0. 0.037 0. 0. 0.
62 0.118 0. 0.118 0.071 0. 0.071 0.04 0. 0.04 0.029 0. 0.029 0.076 0. 0.076 0. 0. 0. 0.04 0. 0.04 0. 0. 0.
63 0.122 0.003 0.118 0.07 0. 0.07 0.042 0.003 0.038 0.029 0. 0.029 0.078 0. 0.078 0. 0. 0. 0.039 0. 0.039 0. 0. 0.
64 0.125 0. 0.125 0.072 0. 0.072 0.043 0. 0.043 0.03 0. 0.03 0.08 0. 0.08 0. 0. 0. 0.04 0. 0.04 0. 0. 0.
65 0.13 0. 0.13 0.074 0. 0.074 0.041 0. 0.041 0.032 0. 0.032 0.086 0. 0.086 0. 0. 0. 0.04 0. 0.04 0. 0. 0.
66 0.139 0. 0.139 0.077 0. 0.077 0.048 0. 0.048 0.031 0. 0.031 0.09 0. 0.09 0. 0. 0. 0.043 0. 0.043 0. 0. 0.
67 0.143 0. 0.143 0.078 0. 0.078 0.053 0. 0.053 0.033 0. 0.033 0.088 0. 0.088 0. 0. 0. 0.043 0. 0.043 0. 0. 0.
68 0.135 0. 0.135 0.088 0. 0.088 0.047 0. 0.047 0.04 0. 0.04 0.086 0. 0.086 0. 0. 0. 0.046 0. 0.046 0. 0. 0.
69 0.142 0. 0.142 0.085 0. 0.085 0.049 0. 0.049 0.034 0. 0.034 0.091 0. 0.091 0. 0. 0. 0.049 0. 0.049 0. 0. 0.
70 0.15 0. 0.15 0.091 0. 0.091 0.048 0. 0.048 0.037 0. 0.037 0.101 0. 0.101 0. 0. 0. 0.052 0. 0.052 0. 0. 0.
71 0.156 0. 0.156 0.089 0. 0.089 0.051 0. 0.051 0.037 0. 0.037 0.104 0. 0.104 0. 0. 0. 0.05 0. 0.05 0. 0. 0.
72 0.147 0. 0.147 0.089 0. 0.089 0.05 0. 0.05 0.038 0. 0.038 0.095 0. 0.095 0. 0. 0. 0.049 0. 0.049 0. 0. 0.
73 0.158 0. 0.158 0.092 0. 0.092 0.05 0. 0.05 0.04 0. 0.04 0.105 0. 0.105 0. 0. 0. 0.05 0. 0.05 0. 0. 0.
74 0.16 0. 0.16 0.096 0. 0.096 0.054 0. 0.054 0.042 0. 0.042 0.104 0. 0.104 0. 0. 0. 0.052 0. 0.052 0. 0. 0.
75 0.16 0. 0.16 0.1 0. 0.1 0.055 0. 0.055 0.043 0. 0.043 0.104 0. 0.104 0. 0. 0. 0.054 0. 0.054 0. 0. 0.
76 0.175 0.003 0.171 0.113 0. 0.113 0.057 0. 0.057 0.051 0. 0.051 0.116 0.003 0.112 0. 0. 0. 0.06 0. 0.06 0. 0. 0.
77 0.17 0. 0.17 0.11 0. 0.11 0.058 0. 0.058 0.048 0. 0.048 0.11 0. 0.11 0. 0. 0. 0.059 0. 0.059 0. 0. 0.
78 0.176 0. 0.176 0.111 0. 0.111 0.058 0. 0.058 0.049 0. 0.049 0.115 0. 0.115 0. 0. 0. 0.06 0. 0.06 0. 0. 0.
79 0.19 0. 0.19 0.113 0. 0.113 0.064 0. 0.064 0.05 0. 0.05 0.123 0. 0.123 0. 0. 0. 0.061 0. 0.061 0. 0. 0.
80 0.184 0. 0.184 0.118 0. 0.118 0.062 0. 0.062 0.052 0. 0.052 0.12 0. 0.12 0. 0. 0. 0.063 0. 0.063 0. 0. 0.
81 0.191 0.003 0.187 0.121 0. 0.121 0.063 0. 0.063 0.053 0. 0.053 0.126 0.003 0.122 0. 0. 0. 0.066 0. 0.066 0. 0. 0.
82 0.194 0. 0.194 0.111 0. 0.111 0.067 0. 0.067 0.046 0. 0.046 0.124 0. 0.124 0. 0. 0. 0.063 0. 0.063 0. 0. 0.
83 0.195 0. 0.195 0.115 0. 0.114 0.067 0. 0.067 0.049 0. 0.048 0.126 0. 0.126 0. 0. 0. 0.064 0. 0.064 0. 0. 0.
84 0.207 0. 0.207 0.119 0. 0.119 0.069 0. 0.069 0.051 0. 0.051 0.135 0. 0.135 0.001 0. 0.001 0.066 0. 0.066 0.001 0. 0.001
85 0.208 0. 0.208 0.122 0. 0.122 0.074 0. 0.074 0.051 0. 0.051 0.131 0. 0.131 0.001 0. 0.001 0.069 0. 0.069 0.001 0. 0.001
86 0.228 0. 0.228 0.125 0. 0.125 0.077 0. 0.077 0.051 0. 0.051 0.149 0. 0.149 0.001 0. 0.001 0.071 0. 0.071 0.001 0. 0.001
87 0.235 0. 0.235 0.129 0. 0.129 0.078 0. 0.078 0.054 0. 0.054 0.155 0. 0.155 0.001 0. 0.001 0.073 0. 0.073 0.001 0. 0.001
88 0.238 0. 0.238 0.13 0. 0.13 0.084 0. 0.084 0.055 0. 0.055 0.148 0. 0.148 0.001 0. 0.001 0.073 0. 0.073 0.001 0. 0.001
