param-n pattern-regression-linear-real pattern-regression-linear-sys pattern-regression-linear-user
431 0.009 0. 0.009
432 0.009 0. 0.009
433 0.009 0. 0.009
434 0.011 0. 0.011
435 0.009 0. 0.009
436 0.008 0. 0.008
437 0.008 0. 0.008
438 0.01 0. 0.01
439 0.009 0. 0.009
440 0.008 0. 0.008
441 0.008 0. 0.008
442 0.009 0. 0.009
443 0.008 0. 0.008
444 0.01 0. 0.01
445 0.009 0. 0.009
446 0.01 0. 0.01
447 0.008 0. 0.008
448 0.01 0. 0.01
449 0.009 0. 0.009
450 0.009 0. 0.009
451 0.009 0. 0.009
452 0.01 0. 0.01
453 0.01 0. 0.01
454 0.01 0. 0.01
455 0.009 0. 0.009
456 0.01 0. 0.01
457 0.009 0. 0.009
458 0.009 0. 0.009
459 0.008 0. 0.008
460 0.01 0. 0.01
461 0.009 0. 0.009
462 0.01 0. 0.01
463 0.009 0. 0.009
464 0.01 0. 0.01
465 0.009 0. 0.009
466 0.01 0. 0.01
467 0.012 0. 0.012
468 0.009 0. 0.009
469 0.011 0. 0.011
470 0.009 0. 0.009
471 0.009 0. 0.009
472 0.009 0. 0.009
473 0.011 0.003 0.007
474 0.009 0. 0.009
475 0.009 0. 0.009
476 0.009 0.002 0.007
477 0.012 0. 0.012
478 0.01 0. 0.01
479 0.01 0. 0.01
480 0.01 0. 0.01
481 0.011 0. 0.011
482 0.011 0. 0.011
483 0.01 0. 0.01
484 0.011 0. 0.011
485 0.011 0. 0.011
486 0.009 0. 0.009
487 0.01 0. 0.01
488 0.01 0. 0.01
489 0.011 0. 0.011
490 0.01 0. 0.01
491 0.009 0. 0.009
492 0.012 0. 0.012
493 0.01 0. 0.01
494 0.01 0. 0.01
495 0.009 0. 0.009
496 0.011 0. 0.011
497 0.011 0. 0.011
498 0.009 0. 0.009
499 0.009 0. 0.009
500 0.016 0. 0.016
