param-n fast-rewrite-regression-cubic-real fast-rewrite-regression-cubic-sys fast-rewrite-regression-cubic-user pose-build-and-refine-regression-cubic-real pose-build-and-refine-regression-cubic-sys pose-build-and-refine-regression-cubic-user refine-regression-quadratic-regression-linear-real refine-regression-quadratic-regression-linear-sys refine-regression-quadratic-regression-linear-user
54 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
55 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
56 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
57 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
58 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
59 0.012 0. 0.007 0.012 0. 0.007 0. 0. 0.
60 0.009 0. 0.013 0.009 0. 0.013 0. 0. 0.
61 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
62 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
63 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
64 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
65 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
66 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
67 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
68 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
69 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0.
70 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
71 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
72 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
73 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
74 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
75 0.011 0. 0.011 0.011 0. 0.011 0. 0. 0.
76 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0.
77 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0.
78 0.011 0. 0.011 0.011 0. 0.011 0.001 0. 0.001
79 0.012 0. 0.012 0.012 0. 0.012 0.001 0. 0.001
80 0.016 0. 0.016 0.016 0. 0.016 0. 0. 0.
81 0.012 0. 0.012 0.012 0. 0.012 0.001 0. 0.001
82 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0.
83 0.012 0. 0.012 0.012 0. 0.012 0.001 0. 0.001
84 0.012 0. 0.012 0.012 0. 0.012 0.001 0. 0.001
85 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
86 0.013 0. 0.013 0.013 0. 0.013 0.001 0. 0.001
87 0.013 0. 0.013 0.013 0. 0.013 0.001 0. 0.001
88 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
89 0.015 0. 0.015 0.015 0. 0.015 0.001 0. 0.001
90 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
91 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
92 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
93 0.024 0. 0.024 0.024 0. 0.024 0.005 0. 0.005
94 0.015 0. 0.015 0.014 0. 0.014 0.001 0. 0.001
95 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
96 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
97 0.015 0. 0.015 0.015 0. 0.015 0.001 0. 0.001
98 0.015 0. 0.015 0.015 0. 0.015 0.001 0. 0.001
99 0.015 0. 0.015 0.015 0. 0.015 0.001 0. 0.001
100 0.024 0.012 0.012 0.024 0.012 0.012 0.001 0. 0.001
110 0.017 0. 0.017 0.017 0. 0.017 0.001 0. 0.001
120 0.022 0. 0.022 0.022 0. 0.022 0.001 0. 0.001
130 0.021 0. 0.021 0.021 0. 0.021 0.001 0. 0.001
140 0.025 0. 0.025 0.025 0. 0.025 0.001 0. 0.001
150 0.08 0.011 0.068 0.08 0.011 0.068 0.002 0. 0.002
160 0.037 0. 0.037 0.037 0. 0.037 0.002 0. 0.002
170 0.035 0. 0.035 0.035 0. 0.035 0.002 0. 0.002
180 0.04 0.003 0.036 0.04 0.003 0.036 0.002 0. 0.002
190 0.04 0. 0.04 0.04 0. 0.04 0.002 0. 0.002
200 0.04 0. 0.04 0.04 0. 0.04 0.002 0. 0.002
210 0.051 0. 0.051 0.051 0. 0.051 0.002 0. 0.002
220 0.054 0.003 0.05 0.054 0.003 0.05 0.002 0. 0.002
230 0.052 0. 0.052 0.052 0. 0.052 0.003 0. 0.003
240 0.075 0. 0.075 0.075 0. 0.075 0.002 0. 0.002
250 0.067 0.003 0.064 0.067 0.003 0.064 0.003 0. 0.003
260 0.066 0. 0.066 0.066 0. 0.066 0.002 0. 0.002
270 0.078 0. 0.078 0.078 0. 0.078 0.003 0. 0.003
280 0.082 0.003 0.078 0.082 0.003 0.078 0.002 0. 0.002
290 0.101 0. 0.101 0.101 0. 0.101 0.003 0. 0.003
300 0.084 0. 0.084 0.084 0. 0.084 0.004 0. 0.004
310 0.095 0. 0.095 0.095 0. 0.095 0.003 0. 0.003
320 0.105 0. 0.105 0.105 0. 0.105 0.004 0. 0.004
330 0.101 0.003 0.097 0.101 0.003 0.097 0.003 0. 0.003
340 0.1 0. 0.099 0.1 0. 0.099 0.004 0. 0.004
350 0.106 0. 0.106 0.106 0. 0.106 0.004 0. 0.004
360 0.105 0. 0.105 0.105 0. 0.105 0.004 0. 0.004
370 0.121 0.003 0.117 0.121 0.003 0.117 0.003 0. 0.003
380 0.121 0. 0.121 0.121 0. 0.121 0.004 0. 0.004
390 0.126 0. 0.126 0.126 0. 0.126 0.005 0. 0.005
400 0.15 0.003 0.147 0.15 0.003 0.147 0.004 0. 0.004
410 0.139 0. 0.139 0.139 0. 0.139 0.004 0. 0.004
420 0.161 0.011 0.149 0.161 0.011 0.149 0.004 0. 0.004
430 0.186 0. 0.186 0.186 0. 0.186 0.032 0. 0.032
440 0.158 0. 0.158 0.158 0. 0.158 0.004 0. 0.004
450 0.211 0.004 0.207 0.211 0.004 0.207 0.005 0. 0.005
460 0.235 0.007 0.227 0.235 0.007 0.227 0.005 0. 0.005
470 0.206 0.011 0.194 0.206 0.011 0.194 0.005 0. 0.004
480 0.199 0.003 0.195 0.199 0.003 0.195 0.005 0. 0.005
490 0.224 0. 0.224 0.224 0. 0.224 0.005 0. 0.005
500 0.239 0.003 0.234 0.239 0.003 0.234 0.007 0. 0.007
510 0.226 0. 0.226 0.226 0. 0.226 0.005 0. 0.005
520 0.215 0. 0.215 0.215 0. 0.215 0.006 0. 0.006
530 0.236 0. 0.236 0.236 0. 0.236 0.037 0. 0.037
540 0.319 0. 0.319 0.319 0. 0.319 0.006 0. 0.006
550 0.257 0.007 0.25 0.257 0.007 0.25 0.006 0. 0.006
560 0.247 0.004 0.243 0.247 0.004 0.243 0.007 0. 0.007
570 0.238 0.004 0.234 0.238 0.004 0.234 0.007 0. 0.007
580 0.26 0. 0.26 0.26 0. 0.26 0.006 0. 0.006
590 0.316 0. 0.316 0.316 0. 0.316 0.007 0. 0.007
600 0.3 0. 0.3 0.3 0. 0.3 0.007 0. 0.007
610 0.317 0. 0.317 0.317 0. 0.317 0.007 0. 0.007
620 0.314 0. 0.314 0.314 0. 0.314 0.007 0. 0.007
630 0.38 0. 0.38 0.38 0. 0.38 0.007 0. 0.007
640 0.311 0. 0.311 0.311 0. 0.311 0.007 0. 0.007
650 0.347 0.012 0.335 0.347 0.012 0.335 0.007 0. 0.007
660 0.387 0.012 0.374 0.387 0.012 0.374 0.048 0. 0.048
670 0.359 0.007 0.351 0.359 0.007 0.351 0.007 0. 0.007
680 0.6 0. 0.6 0.6 0. 0.6 0.007 0. 0.007
690 0.5 0. 0.5 0.5 0. 0.5 0.007 0. 0.007
700 0.362 0. 0.362 0.362 0. 0.362 0.008 0. 0.008
710 0.412 0. 0.412 0.412 0. 0.412 0.008 0. 0.008
720 0.388 0. 0.388 0.388 0. 0.388 0.008 0. 0.008
730 0.481 0. 0.481 0.481 0. 0.481 0.008 0. 0.008
740 0.443 0. 0.443 0.443 0. 0.443 0.008 0. 0.008
750 0.425 0. 0.425 0.425 0. 0.425 0.008 0. 0.008
760 0.451 0. 0.451 0.451 0. 0.451 0.008 0. 0.008
770 0.463 0. 0.463 0.463 0. 0.463 0.008 0. 0.008
780 0.577 0. 0.576 0.577 0. 0.576 0.009 0. 0.009
790 0.545 0. 0.545 0.545 0. 0.545 0.009 0. 0.009
800 0.486 0. 0.486 0.486 0. 0.486 0.009 0. 0.009
810 0.5 0. 0.5 0.5 0. 0.5 0.009 0. 0.009
820 0.627 0. 0.627 0.627 0. 0.627 0.01 0. 0.01
830 0.496 0. 0.496 0.496 0. 0.496 0.009 0. 0.009
840 0.543 0.023 0.519 0.543 0.023 0.519 0.009 0. 0.009
850 0.598 0.001 0.596 0.598 0.001 0.596 0.009 0. 0.009
860 0.688 0. 0.688 0.688 0. 0.688 0.01 0. 0.01
870 0.608 0. 0.608 0.608 0. 0.608 0.01 0. 0.01
880 0.675 0. 0.675 0.675 0. 0.675 0.01 0. 0.01
890 0.765 0. 0.764 0.765 0. 0.764 0.01 0. 0.01
900 0.616 0. 0.616 0.616 0. 0.616 0.01 0. 0.01
910 0.703 0. 0.703 0.703 0. 0.703 0.041 0. 0.041
920 0.743 0. 0.743 0.743 0. 0.743 0.01 0. 0.01
930 0.669 0. 0.669 0.669 0. 0.669 0.01 0. 0.01
940 0.989 0. 0.988 0.989 0. 0.988 0.01 0. 0.01
950 0.775 0. 0.775 0.775 0. 0.775 0.01 0. 0.01
960 0.742 0. 0.742 0.742 0. 0.742 0.011 0. 0.011
970 0.778 0. 0.778 0.778 0. 0.778 0.011 0. 0.011
980 0.798 0. 0.798 0.798 0. 0.798 0.011 0. 0.011
990 0.778 0.019 0.757 0.777 0.019 0.757 0.011 0. 0.011
1000 0.782 0.008 0.773 0.782 0.008 0.773 0.011 0. 0.011
1100 0.995 0. 0.995 0.995 0. 0.995 0.012 0. 0.012
1200 1.109 0. 1.109 1.109 0. 1.109 0.014 0. 0.014
1300 1.349 0. 1.349 1.349 0. 1.349 0.015 0. 0.015
1400 1.527 0. 1.527 1.527 0. 1.527 0.015 0. 0.015
1500 1.741 0. 1.741 1.741 0. 1.741 0.017 0. 0.017
1600 2.261 0. 2.26 2.261 0. 2.26 0.019 0. 0.019
1700 2.231 0. 2.231 2.231 0. 2.231 0.043 0. 0.043
1800 2.615 0.008 2.607 2.615 0.008 2.607 0.021 0. 0.021
1900 2.916 0.052 2.863 2.916 0.052 2.863 0.023 0. 0.023
2000 3.215 0. 3.215 3.215 0. 3.215 0.024 0. 0.024
3000 7.286 0.035 7.249 7.286 0.035 7.249 0.117 0. 0.117
4000 14.186 0.196 13.988 14.186 0.196 13.988 0.053 0.004 0.049
5000 21.479 0.172 21.304 21.479 0.172 21.304 0.09 0.004 0.086
