param 0-univ-count,param 1-n,param kind,param n,abstract real,abstract sys,abstract user,close-abstract real,close-abstract sys,close-abstract user,exact real,exact sys,exact user,pattern real,pattern sys,pattern user
,,pattern,432,,,,,,,,,,0.009,0.,0.009
,,pattern,433,,,,,,,,,,0.009,0.,0.009
,,pattern,434,,,,,,,,,,0.009,0.,0.009
,,pattern,435,,,,,,,,,,0.009,0.,0.009
,,pattern,436,,,,,,,,,,0.009,0.,0.009
,,pattern,437,,,,,,,,,,0.01,0.,0.01
,,pattern,438,,,,,,,,,,0.009,0.,0.009
,,pattern,439,,,,,,,,,,0.009,0.,0.009
,,pattern,440,,,,,,,,,,0.009,0.,0.009
,,pattern,441,,,,,,,,,,0.011,0.,0.011
,,pattern,442,,,,,,,,,,0.009,0.,0.009
,,pattern,443,,,,,,,,,,0.009,0.,0.009
,,pattern,444,,,,,,,,,,0.009,0.,0.009
,,pattern,445,,,,,,,,,,0.01,0.,0.01
,,pattern,446,,,,,,,,,,0.009,0.,0.009
,,pattern,447,,,,,,,,,,0.009,0.,0.009
,,pattern,448,,,,,,,,,,0.009,0.,0.009
,,pattern,449,,,,,,,,,,0.009,0.,0.009
,,pattern,450,,,,,,,,,,0.009,0.,0.009
,,pattern,451,,,,,,,,,,0.009,0.,0.009
,,pattern,452,,,,,,,,,,0.012,0.,0.012
,,pattern,453,,,,,,,,,,0.009,0.,0.009
,,pattern,454,,,,,,,,,,0.01,0.,0.01
,,pattern,455,,,,,,,,,,0.009,0.,0.009
,,pattern,456,,,,,,,,,,0.01,0.,0.01
,,pattern,457,,,,,,,,,,0.01,0.,0.01
,,pattern,458,,,,,,,,,,0.009,0.,0.009
,,pattern,459,,,,,,,,,,0.01,0.,0.01
,,pattern,460,,,,,,,,,,0.011,0.,0.011
,,pattern,461,,,,,,,,,,0.01,0.,0.01
,,pattern,462,,,,,,,,,,0.01,0.,0.01
,,pattern,463,,,,,,,,,,0.009,0.,0.009
,,pattern,464,,,,,,,,,,0.01,0.,0.01
,,pattern,465,,,,,,,,,,0.01,0.,0.01
,,pattern,466,,,,,,,,,,0.011,0.,0.011
