param-n pattern-real pattern-sys pattern-user
2000 0.057 0.003 0.053
2200 0.062 0. 0.062
2400 0.062 0. 0.062
2600 0.06 0.003 0.057
2800 0.08 0. 0.082
3000 0.088 0. 0.088
3200 0.085 0. 0.085
3400 0.084 0. 0.084
3600 0.089 0.003 0.085
3800 0.094 0. 0.094
4000 0.096 0. 0.096
4200 0.119 0. 0.119
4400 0.139 0. 0.139
4600 0.124 0.003 0.121
4800 0.128 0. 0.128
5000 0.131 0. 0.131
5200 0.149 0.003 0.145
5400 0.144 0. 0.144
5600 0.152 0.008 0.144
5800 0.15 0. 0.15
6000 0.141 0. 0.141
6200 0.166 0. 0.166
6400 0.165 0. 0.165
6600 0.165 0. 0.165
6800 0.165 0. 0.165
7000 0.164 0. 0.164
7200 0.163 0. 0.163
7400 0.194 0. 0.194
7600 0.188 0. 0.188
7800 0.194 0. 0.194
8000 0.201 0. 0.201
8200 0.213 0. 0.213
8400 0.223 0. 0.222
8600 0.235 0. 0.235
8800 0.253 0. 0.253
9000 0.288 0.007 0.278
9200 0.261 0. 0.261
9400 0.269 0. 0.268
9600 0.267 0. 0.267
9800 0.267 0. 0.267
10000 0.285 0. 0.285
10200 0.318 0. 0.318
10400 0.335 0. 0.335
10600 0.336 0. 0.336
10800 0.343 0. 0.343
11000 0.352 0. 0.352
11200 0.359 0. 0.359
11400 0.363 0. 0.363
11600 0.361 0. 0.361
11800 0.359 0.003 0.356
12000 0.374 0. 0.374
12200 0.396 0. 0.396
12400 0.4 0. 0.4
12600 0.392 0. 0.392
12800 0.4 0. 0.4
13000 0.406 0. 0.406
13200 0.434 0. 0.434
13400 0.415 0. 0.415
13600 0.402 0. 0.402
13800 0.4 0. 0.4
14000 0.396 0. 0.396
14200 0.44 0. 0.44
14400 0.416 0. 0.416
14600 0.371 0. 0.371
14800 0.394 0. 0.394
15000 0.411 0. 0.411
15200 0.417 0.003 0.413
15400 0.425 0. 0.425
15600 0.437 0. 0.436
15800 0.463 0. 0.462
16000 0.47 0. 0.47
16200 0.487 0. 0.487
16400 0.509 0. 0.509
16600 0.51 0. 0.51
16800 0.543 0. 0.543
17000 0.563 0. 0.563
17200 0.564 0. 0.564
17400 0.588 0.004 0.584
17600 0.606 0. 0.606
17800 0.611 0. 0.611
18000 0.634 0. 0.634
18200 0.63 0. 0.63
18400 0.652 0.003 0.648
18600 0.654 0. 0.654
18800 0.639 0. 0.639
19000 0.637 0. 0.637
19200 0.643 0. 0.643
19400 0.638 0. 0.638
19600 0.653 0. 0.653
19800 0.649 0. 0.649
20000 0.685 0. 0.685
